id,easting,northing,lat,lon,ws10,ws25,ws45
173,224500,98500,50.75430643,-4.495450634,5.4,6.2,6.8
174,225500,98500,50.75460883,-4.481286166,5.5,6.3,6.8
175,226500,98500,50.75490951,-4.467121455,5.9,6.7,7.1
176,227500,98500,50.75520847,-4.452956502,5.7,6.5,7
177,228500,98500,50.75550571,-4.438791309,5.3,6,6.6
178,229500,98500,50.75580124,-4.424625878,5.2,5.9,6.5
179,230500,98500,50.75609504,-4.410460208,5.1,5.9,6.5
180,231500,98500,50.75638712,-4.396294303,5.2,5.9,6.5
181,214500,97500,50.74220377,-4.636576659,5,5.9,6.6
182,215500,97500,50.74252325,-4.622417401,6.1,6.9,7.4
183,216500,97500,50.74284102,-4.608257885,6.8,7.5,7.9
184,217500,97500,50.74315707,-4.594098115,6.2,7,7.6
185,218500,97500,50.7434714,-4.57993809,6.1,6.9,7.5
186,219500,97500,50.74378401,-4.565777814,6.1,6.8,7.3
187,220500,97500,50.74409491,-4.551617286,5.7,6.4,7
188,221500,97500,50.74440408,-4.537456508,5.6,6.4,6.9
189,222500,97500,50.74471154,-4.523295483,5.5,6.3,6.9
190,223500,97500,50.74501728,-4.50913421,6,6.7,7.2
191,224500,97500,50.7453213,-4.494972692,5.8,6.5,7.1
192,225500,97500,50.74562361,-4.48081093,5.5,6.3,6.9
193,226500,97500,50.74592419,-4.466648925,5.8,6.5,7.1
194,227500,97500,50.74622306,-4.452486678,5.6,6.4,6.9
195,228500,97500,50.74652021,-4.438324192,5.5,6.3,6.8
196,229500,97500,50.74681563,-4.424161467,5.7,6.4,6.9
197,230500,97500,50.74710934,-4.409998505,5.3,6.1,6.6
198,231500,97500,50.74740134,-4.395835307,4.8,5.7,6.3
199,213500,96500,50.73289852,-4.650228222,5.2,6,6.6
200,214500,96500,50.73321962,-4.636071924,5.5,6.3,6.9
201,215500,96500,50.733539,-4.621915368,5.8,6.6,7.2
202,216500,96500,50.73385666,-4.607758556,6.1,6.9,7.5
203,217500,96500,50.73417261,-4.593601488,6.6,7.3,7.8
204,218500,96500,50.73448684,-4.579444168,6.6,7.3,7.8
205,219500,96500,50.73479936,-4.565286594,5.9,6.7,7.3
206,220500,96500,50.73511015,-4.551128771,5.5,6.3,6.9
207,221500,96500,50.73541923,-4.536970697,5.7,6.5,7
208,222500,96500,50.73572659,-4.522812376,5.7,6.5,7.1
209,223500,96500,50.73603223,-4.508653807,6.2,6.9,7.3
210,224500,96500,50.73633616,-4.494494994,6,6.7,7.2
211,225500,96500,50.73663837,-4.480335936,5.8,6.5,7
212,226500,96500,50.73693886,-4.466176636,5.8,6.5,7.1
